code,first_letter,level,name,parent_code,region
140823,w,3,闻喜县,140800,0
140824,j,3,稷山县,140800,0
140825,x,3,新绛县,140800,0
140826,j,3,绛县,140800,0
140827,y,3,垣曲县,140800,0
140828,x,3,夏县,140800,0
140829,p,3,平陆县,140800,0
140830,r,3,芮城县,140800,0
140881,y,3,永济市,140800,0
140882,h,3,河津市,140800,0
140902,x,3,忻府区,140900,0
140921,d,3,定襄县,140900,0
140922,w,3,五台县,140900,0
140923,d,3,代县,140900,0
140924,f,3,繁峙县,140900,0
140925,n,3,宁武县,140900,0
140926,j,3,静乐县,140900,0
140927,s,3,神池县,140900,0
140928,w,3,五寨县,140900,0
140929,k,3,岢岚县,140900,0
140930,h,3,河曲县,140900,0
140931,b,3,保德县,140900,0
140932,p,3,偏关县,140900,0
140981,y,3,原平市,140900,0
141002,y,3,尧都区,141000,0
141021,q,3,曲沃县,141000,0
141022,y,3,翼城县,141000,0
141023,x,3,襄汾县,141000,0
141024,h,3,洪洞县,141000,0
141025,g,3,古县,141000,0
141026,a,3,安泽县,141000,0
141027,f,3,浮山县,141000,0
141028,j,3,吉县,141000,0
141029,x,3,乡宁县,141000,0
141030,d,3,大宁县,141000,0
141031,x,3,隰县,141000,0
141032,y,3,永和县,141000,0
141033,p,3,蒲县,141000,0
141034,f,3,汾西县,141000,0
141081,h,3,侯马市,141000,0
141082,h,3,霍州市,141000,0
141102,l,3,离石区,141100,0
141121,w,3,文水县,141100,0
141122,j,3,交城县,141100,0
141123,x,3,兴县,141100,0
141124,l,3,临县,141100,0
141125,l,3,柳林县,141100,0
141126,s,3,石楼县,141100,0
141127,l,3,岚县,141100,0
141128,f,3,方山县,141100,0
141129,z,3,中阳县,141100,0
141130,j,3,交口县,141100,0
141181,x,3,孝义市,141100,0
141182,f,3,汾阳市,141100,0
150102,x,3,新城区,150100,0
150103,h,3,回民区,150100,0
150104,y,3,玉泉区,150100,0
150105,s,3,赛罕区,150100,0
150121,t,3,土默特左旗,150100,0
150122,t,3,托克托县,150100,0
150123,h,3,和林格尔县,150100,0
150124,q,3,清水河县,150100,0
150125,w,3,武川县,150100,0
150202,d,3,东河区,150200,0
150203,k,3,昆都仑区,150200,0
150204,q,3,青山区,150200,0
150205,s,3,石拐区,150200,0
150206,b,3,白云鄂博矿区,150200,0
150207,j,3,九原区,150200,0
150221,t,3,土默特右旗,150200,0
150222,g,3,固阳县,150200,0
150223,d,3,达尔罕茂明安联合旗,150200,0
150302,h,3,海勃湾区,150300,0
150303,h,3,海南区,150300,0
150304,w,3,乌达区,150300,0
150402,h,3,红山区,150400,0
150403,y,3,元宝山区,150400,0
150404,s,3,松山区,150400,0
150421,a,3,阿鲁科尔沁旗,150400,0
150422,b,3,巴林左旗,150400,0
150423,b,3,巴林右旗,150400,0
150424,l,3,林西县,150400,0
150425,k,3,克什克腾旗,150400,0
150426,w,3,翁牛特旗,150400,0
150428,k,3,喀喇沁旗,150400,0
150429,n,3,宁城县,150400,0
150430,a,3,敖汉旗,150400,0
150502,k,3,科尔沁区,150500,0
150521,k,3,科尔沁左翼中旗,150500,0
150522,k,3,科尔沁左翼后旗,150500,0
150523,k,3,开鲁县,150500,0
150524,k,3,库伦旗,150500,0
150525,n,3,奈曼旗,150500,0
150526,z,3,扎鲁特旗,150500,0
150581,h,3,霍林郭勒市,150500,0
150602,d,3,东胜区,150600,0
150603,k,3,康巴什区,150600,0
150621,d,3,达拉特旗,150600,0
150622,z,3,准格尔旗,150600,0
150623,e,3,鄂托克前旗,150600,0
150624,e,3,鄂托克旗,150600,0
150625,h,3,杭锦旗,150600,0
150626,w,3,乌审旗,150600,0
150627,y,3,伊金霍洛旗,150600,0
150702,h,3,海拉尔区,150700,0
150703,z,3,扎赉诺尔区,150700,0
150721,a,3,阿荣旗,150700,0
150722,m,3,莫力达瓦达斡尔族自治旗,150700,0
150723,e,3,鄂伦春自治旗,150700,0
150724,e,3,鄂温克族自治旗,150700,0
150725,c,3,陈巴尔虎旗,150700,0
150726,x,3,新巴尔虎左旗,150700,0
150727,x,3,新巴尔虎右旗,150700,0
150781,m,3,满洲里市,150700,0
150782,y,3,牙克石市,150700,0
150783,z,3,扎兰屯市,150700,0
150784,e,3,额尔古纳市,150700,0
150785,g,3,根河市,150700,0
150802,l,3,临河区,150800,0
150821,w,3,五原县,150800,0
150822,d,3,磴口县,150800,0
150823,w,3,乌拉特前旗,150800,0
150824,w,3,乌拉特中旗,150800,0
150825,w,3,乌拉特后旗,150800,0
150826,h,3,杭锦后旗,150800,0
150902,j,3,集宁区,150900,0
150921,z,3,卓资县,150900,0
150922,h,3,化德县,150900,0
150923,s,3,商都县,150900,0
150924,x,3,兴和县,150900,0
150925,l,3,凉城县,150900,0
150926,c,3,察哈尔右翼前旗,150900,0
150927,c,3,察哈尔右翼中旗,150900,0
150928,c,3,察哈尔右翼后旗,150900,0
150929,s,3,四子王旗,150900,0
150981,f,3,丰镇市,150900,0
152201,w,3,乌兰浩特市,152200,0
152202,a,3,阿尔山市,152200,0
152221,k,3,科尔沁右翼前旗,152200,0
152222,k,3,科尔沁右翼中旗,152200,0
152223,z,3,扎赉特旗,152200,0
152224,t,3,突泉县,152200,0
152501,e,3,二连浩特市,152500,0
152502,x,3,锡林浩特市,152500,0
152522,a,3,阿巴嘎旗,152500,0
152523,s,3,苏尼特左旗,152500,0
152524,s,3,苏尼特右旗,152500,0
152525,d,3,东乌珠穆沁旗,152500,0
152526,x,3,西乌珠穆沁旗,152500,0
152527,t,3,太仆寺旗,152500,0
152528,x,3,镶黄旗,152500,0
152529,z,3,正镶白旗,152500,0
152530,z,3,正蓝旗,152500,0
152531,d,3,多伦县,152500,0
152921,a,3,阿拉善左旗,152900,0
152922,a,3,阿拉善右旗,152900,0
152923,e,3,额济纳旗,152900,0
210102,h,3,和平区,210100,0
210103,s,3,沈河区,210100,0
210104,d,3,大东区,210100,0
210105,h,3,皇姑区,210100,0
210106,t,3,铁西区,210100,0
210111,s,3,苏家屯区,210100,0
210112,h,3,浑南区,210100,0
210113,s,3,沈北新区,210100,0
210114,y,3,于洪区,210100,0
210115,l,3,辽中区,210100,0
210123,k,3,康平县,210100,0
210124,f,3,法库县,210100,0
210181,x,3,新民市,210100,0
210202,z,3,中山区,210200,0
210203,x,3,西岗区,210200,0
210204,s,3,沙河口区,210200,0
210211,g,3,甘井子区,210200,0
210212,l,3,旅顺口区,210200,0
210213,j,3,金州区,210200,0
210214,p,3,普兰店区,210200,0
210224,z,3,长海县,210200,0
210281,w,3,瓦房店市,210200,0
210283,z,3,庄河市,210200,0
210302,t,3,铁东区,210300,0
210303,t,3,铁西区,210300,0
210304,l,3,立山区,210300,0
210311,q,3,千山区,210300,0
210321,t,3,台安县,210300,0
210323,x,3,岫岩满族自治县,210300,0
210381,h,3,海城市,210300,0
210402,x,3,新抚区,210400,0
210403,d,3,东洲区,210400,0
210404,w,3,望花区,210400,0
210411,s,3,顺城区,210400,0
210421,f,3,抚顺县,210400,0
210422,x,3,新宾满族自治县,210400,0
210423,q,3,清原满族自治县,210400,0
210502,p,3,平山区,210500,0
210503,x,3,溪湖区,210500,0
210504,m,3,明山区,210500,0
210505,n,3,南芬区,210500,0
210521,b,3,本溪满族自治县,210500,0
210522,h,3,桓仁满族自治县,210500,0
210602,y,3,元宝区,210600,0
210603,z,3,振兴区,210600,0
